GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
6005,"Amador, CA",35,    Retail trade,117284,97020,85022,87474,88897,93965,95158,100396,103071,107887
6005,"Amador, CA",36,    Transportation and warehousing,9907,10727,12344,17175,13267,13501,13458,14630,14976,15896
6005,"Amador, CA",45,    Information,27485,26844,29928,37386,42750,51531,58956,60653,59968,64709
6005,"Amador, CA",50,"    Finance, insurance, real estate, rental, and leasing",295739,294975,290068,316830,348870,366768,389411,417323,442663,539340
6005,"Amador, CA",51,      Finance and insurance,40051,41381,38856,36442,41918,42325,43770,47988,48283,45418
6005,"Amador, CA",56,      Real estate and rental and leasing,255688,253594,251212,280389,306951,324444,345641,369336,394381,493923
6005,"Amador, CA",59,    Professional and business services,144388,158390,154795,168611,163143,163144,161787,171767,178114,181457
6005,"Amador, CA",60,"      Professional, scientific, and technical services",41833,49178,46372,43378,43931,43864,35211,37403,40320,42489
6005,"Amador, CA",64,      Management of companies and enterprises,(D),93750,93804,(D),104174,(D),(D),(D),(D),(D)
6005,"Amador, CA",65,      Administrative and support and waste management and remediation services,(D),15463,14618,(D),15038,(D),(D),(D),(D),(D)
6005,"Amador, CA",68,"    Educational services, health care, and social assistance",95715,98534,96628,96806,100956,107330,115953,124094,130693,139815
6005,"Amador, CA",69,      Educational services,(D),1452,1635,(D),(D),(D),(D),(D),(D),(D)
6005,"Amador, CA",70,      Health care and social assistance,(D),97082,94994,(D),(D),(D),(D),(D),(D),(D)
6005,"Amador, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",30517,29847,30404,34681,38814,42165,45295,50374,53755,54874
6005,"Amador, CA",76,"      Arts, entertainment, and recreation",7226,6529,6268,6146,7015,6661,6798,6556,7458,7515
6005,"Amador, CA",79,      Accommodation and food services,23291,23319,24136,28535,31799,35504,38496,43819,46297,47359
6005,"Amador, CA",82,    Other services (except government and government enterprises),29952,29824,27438,29069,31167,33313,34106,35486,37569,39709
6005,"Amador, CA",83,Government and government enterprises,380977,366403,350554,354319,363685,395558,414886,430514,444125,453573
6005,"Amador, CA",,Addenda:,,,,,,,,,,
6005,"Amador, CA",87,Natural resources and mining,35658,(D),(D),55945,44136,34744,31036,31653,38241,58472
6005,"Amador, CA",88,Trade,(D),(D),(D),103634,101379,(D),(D),(D),(D),(D)
6005,"Amador, CA",89,Transportation and utilities,(D),(D),(D),118284,103329,(D),(D),(D),(D),(D)
6005,"Amador, CA",90,Manufacturing and information,88807,102818,118323,155012,174338,206071,233868,246068,239345,249104
6005,"Amador, CA",91,Private goods-producing industries 2/,176108,(D),(D),231838,284468,313966,281874,287961,326991,345297
6005,"Amador, CA",92,Private services-providing industries 3/,871147,(D),(D),905301,930407,955877,1047241,1105016,1130350,1268806
6007,"Butte, CA",1,All industry total,7594704,7802664,7711583,8119398,8292752,8765121,9429548,10068365,10469296,11314675
6007,"Butte, CA",2,  Private industries,6513800,6678500,6588613,6951033,7067651,7426722,8038970,8648748,9001321,9797959
6007,"Butte, CA",3,"    Agriculture, forestry, fishing and hunting",424357,403545,402746,473879,284140,266952,333854,325122,373258,341634
6007,"Butte, CA",6,"    Mining, quarrying, and oil and gas extraction",78191,89282,43733,87125,121147,28988,41321,62562,93959,73598
6007,"Butte, CA",10,    Utilities,397521,509234,377123,363382,251614,246968,453938,565117,395485,646178
6007,"Butte, CA",11,    Construction,377018,324864,260664,303288,322364,359246,375802,396171,510793,539054
6007,"Butte, CA",12,    Manufacturing,326082,332250,362531,399901,416648,467192,490597,540953,556835,564196
6007,"Butte, CA",13,      Durable goods manufacturing,131654,135628,150346,168492,168881,178906,185486,200970,215478,217139
6007,"Butte, CA",25,      Nondurable goods manufacturing,194428,196622,212184,231409,247767,288286,305112,339983,341357,347057
6007,"Butte, CA",34,    Wholesale trade,237019,260326,268662,262866,272688,281079,273930,273428,294825,321989
6007,"Butte, CA",35,    Retail trade,616064,617416,645186,690292,704283,745034,763950,835518,859003,917068
6007,"Butte, CA",36,    Transportation and warehousing,96566,93268,86588,84682,85936,86042,88062,89561,95216,99591
6007,"Butte, CA",45,    Information,133933,134290,140874,154131,157183,171684,173305,176866,186266,195893
6007,"Butte, CA",50,"    Finance, insurance, real estate, rental, and leasing",1923645,1921336,1893636,2041170,2199459,2434214,2569917,2754056,2900579,3280454
6007,"Butte, CA",51,      Finance and insurance,252763,250324,240485,248204,292603,371387,384160,419451,419200,442251
